order_id,date,product_name,unit_price,quantity,total_price,city
ORD0001,2025-04-28,Monitor,349.99,10,3499.90,New York
ORD0002,2025-09-29,Mouse,29.99,5,149.95,New York
ORD0003,2025-08-04,Headphones,149.99,8,1199.92,Chicago
ORD0004,2025-12-16,Headphones,149.99,6,899.94,New York
ORD0005,2025-02-12,Mouse,29.99,3,89.97,Los Angeles
ORD0008,2025-11-07,Headphones,149.99,9,1349.91,Los Angeles
ORD0009,2025-03-24,Monitor,349.99,3,1049.97,Los Angeles
ORD0011,2025-02-11,Laptop,999.99,8,7999.92,New York
ORD0012,2025-07-15,Monitor,349.99,5,1749.95,New York
ORD0013,2025-01-29,Keyboard,79.99,7,559.93,Chicago
ORD0020,2025-06-22,Laptop,999.99,7,6999.93,New York
ORD0022,2025-04-28,Laptop,999.99,7,6999.93,Chicago
ORD0025,2025-02-05,Monitor,349.99,7,2449.93,Los Angeles
ORD0026,2025-10-01,Headphones,149.99,6,899.94,Chicago
ORD0028,2025-04-10,Headphones,149.99,7,1049.93,Los Angeles
ORD0031,2025-01-02,Monitor,349.99,6,2099.94,Los Angeles
ORD0032,2025-09-25,Laptop,999.99,4,3999.96,Chicago
ORD0036,2025-04-10,Monitor,349.99,9,3149.91,Los Angeles
ORD0044,2025-03-26,Laptop,999.99,7,6999.93,Los Angeles
ORD0046,2025-03-23,Keyboard,79.99,9,719.91,New York
